Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
65,Exit long,2023-08-11 05:00,A_LONDON_BO_LONG_EXIT,1.09875,1,1.09996,-0.001,-0.11,0,0.0001,0.01,-0.001,-0.11,0.01,0.00,1
65,Entry long,2023-08-11 04:00,A_LONDON_BO_LONG,1.09996,1,1.09996,-0.001,-0.11,0,0.0001,0.01,-0.001,-0.11,0.01,0.00,1
66,Exit short,2023-08-18 10:00,A_LONDON_BO_SHORT_EXIT,1.08796,1,1.08676,-0.001,-0.11,0,0.002,0.21,-0.001,-0.11,0.01,0.00,6
66,Entry short,2023-08-18 04:00,A_LONDON_BO_SHORT,1.08676,1,1.08676,-0.001,-0.11,0,0.002,0.21,-0.001,-0.11,0.01,0.00,6
67,Exit long,2023-08-22 04:00,A_LONDON_BO_LONG_EXIT,1.09081,1,1.09179,-0.001,-0.09,0,0.001,0.11,-0.001,-0.09,0.01,0.00,2
67,Entry long,2023-08-22 02:00,A_LONDON_BO_LONG,1.09179,1,1.09179,-0.001,-0.09,0,0.001,0.11,-0.001,-0.09,0.01,0.00,2
68,Exit short,2023-08-24 08:00,A_LONDON_BO_SHORT_EXIT,1.08346,1,1.08569,0.002,0.21,0,0.002,0.21,-0.001,-0.07,0.01,0.00,6
68,Entry short,2023-08-24 02:00,A_LONDON_BO_SHORT,1.08569,1,1.08569,0.002,0.21,0,0.002,0.21,-0.001,-0.07,0.01,0.00,6
69,Exit long,2023-08-30 08:00,A_LONDON_BO_LONG_EXIT,1.08755,1,1.08889,-0.001,-0.12,0,0.0003,0.02,-0.001,-0.12,0.01,0.00,3
69,Entry long,2023-08-30 05:00,A_LONDON_BO_LONG,1.08889,1,1.08889,-0.001,-0.12,0,0.0003,0.02,-0.001,-0.12,0.01,0.00,3
70,Exit short,2023-09-05 04:00,A_LONDON_BO_SHORT_EXIT,1.07475,1,1.07666,0.002,0.18,0,0.002,0.18,-0.001,-0.05,0.01,0.00,2
