Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
55,Entry long,2023-09-22 08:00,AUDJPY_1200_LONG,95.732,1,95.732,-0.17,-0.18,0,0.1,0.10,-0.17,-0.18,1.23,0.01,3
56,Exit long,2023-09-25 10:00,TP_OR_SL,95.413,1,95.558,-0.14,-0.15,0,0.16,0.16,-0.14,-0.15,1.08,0.01,2
56,Entry long,2023-09-25 08:00,AUDJPY_1200_LONG,95.558,1,95.558,-0.14,-0.15,0,0.16,0.16,-0.14,-0.15,1.08,0.01,2
57,Exit long,2023-09-29 09:00,TP_OR_SL,96.685,1,96.859,-0.17,-0.18,0,0,0.00,-0.17,-0.18,0.91,0.01,1
57,Entry long,2023-09-29 08:00,AUDJPY_1200_LONG,96.859,1,96.859,-0.17,-0.18,0,0,0.00,-0.17,-0.18,0.91,0.01,1
58,Exit long,2023-10-09 10:00,TP_OR_SL,94.729,1,94.915,-0.19,-0.20,0,0.11,0.12,-0.19,-0.20,0.72,0.01,2
58,Entry long,2023-10-09 08:00,AUDJPY_1200_LONG,94.915,1,94.915,-0.19,-0.20,0,0.11,0.12,-0.19,-0.20,0.72,0.01,2
59,Exit long,2023-10-24 11:00,TP_OR_SL,95.172,1,95.31,-0.14,-0.14,0,0.07,0.07,-0.14,-0.14,0.58,0.01,3
59,Entry long,2023-10-24 08:00,AUDJPY_1200_LONG,95.31,1,95.31,-0.14,-0.14,0,0.07,0.07,-0.14,-0.14,0.58,0.01,3
60,Exit long,2023-10-30 10:00,TP_OR_SL,95.317,1,95.455,-0.14,-0.14,0,0.07,0.08,-0.14,-0.14,0.44,0.00,2
60,Entry long,2023-10-30 08:00,AUDJPY_1200_LONG,95.455,1,95.455,-0.14,-0.14,0,0.07,0.08,-0.14,-0.14,0.44,0.00,2
61,Exit long,2023-11-01 11:00,TIME_EXIT,96.062,1,96.156,-0.09,-0.10,0,0.32,0.33,-0.1,-0.11,0.35,0.00,3
61,Entry long,2023-11-01 08:00,AUDJPY_1200_LONG,96.156,1,96.156,-0.09,-0.10,0,0.32,0.33,-0.1,-0.11,0.35,0.00,3
62,Exit long,2023-11-03 11:00,TIME_EXIT,97.144,1,97.018,0.13,0.13,0,0.18,0.19,-0.05,-0.05,0.48,0.00,3
62,Entry long,2023-11-03 08:00,AUDJPY_1200_LONG,97.018,1,97.018,0.13,0.13,0,0.18,0.19,-0.05,-0.05,0.48,0.00,3
63,Exit long,2023-11-15 08:00,TP_OR_SL,97.993,1,98.155,-0.16,-0.17,0,0.12,0.12,-0.16,-0.17,0.31,0.00,1
63,Entry long,2023-11-15 07:00,AUDJPY_1200_LONG,98.155,1,98.155,-0.16,-0.17,0,0.12,0.12,-0.16,-0.17,0.31,0.00,1
64,Exit long,2023-11-23 10:00,TP_OR_SL,98.19,1,97.969,0.22,0.23,0,0.22,0.23,-0.01,-0.01,0.54,0.01,3
64,Entry long,2023-11-23 07:00,AUDJPY_1200_LONG,97.969,1,97.969,0.22,0.23,0,0.22,0.23,-0.01,-0.01,0.54,0.01,3
65,Exit long,2023-11-24 10:00,TP_OR_SL,98.465,1,98.266,0.2,0.20,0,0.2,0.20,-0.08,-0.08,0.73,0.01,3
65,Entry long,2023-11-24 07:00,AUDJPY_1200_LONG,98.266,1,98.266,0.2,0.20,0,0.2,0.20,-0.08,-0.08,0.73,0.01,3
66,Exit long,2023-12-11 10:00,TIME_EXIT,96.108,1,95.986,0.12,0.13,0,0.16,0.17,-0.12,-0.13,0.86,0.01,3
66,Entry long,2023-12-11 07:00,AUDJPY_1200_LONG,95.986,1,95.986,0.12,0.13,0,0.16,0.17,-0.12,-0.13,0.86,0.01,3
67,Exit long,2023-12-18 10:00,TP_OR_SL,95.856,1,96.021,-0.16,-0.17,0,0.12,0.13,-0.16,-0.17,0.69,0.01,3
67,Entry long,2023-12-18 07:00,AUDJPY_1200_LONG,96.021,1,96.021,-0.16,-0.17,0,0.12,0.13,-0.16,-0.17,0.69,0.01,3
68,Exit long,2023-12-26 10:00,TIME_EXIT,97.065,1,96.972,0.09,0.10,0,0.13,0.13,-0.04,-0.04,0.78,0.01,3
68,Entry long,2023-12-26 07:00,AUDJPY_1200_LONG,96.972,1,96.972,0.09,0.10,0,0.13,0.13,-0.04,-0.04,0.78,0.01,3
69,Exit long,2023-12-27 09:00,TP_OR_SL,97.419,1,97.546,-0.13,-0.13,0,0.05,0.05,-0.13,-0.13,0.66,0.01,2
69,Entry long,2023-12-27 07:00,AUDJPY_1200_LONG,97.546,1,97.546,-0.13,-0.13,0,0.05,0.05,-0.13,-0.13,0.66,0.01,2
70,Exit long,2024-01-10 10:00,TIME_EXIT,97.508,1,97.372,0.14,0.14,0,0.15,0.16,-0.12,-0.13,0.79,0.01,3
70,Entry long,2024-01-10 07:00,AUDJPY_1200_LONG,97.372,1,97.372,0.14,0.14,0,0.15,0.16,-0.12,-0.13,0.79,0.01,3
71,Exit long,2024-01-18 08:00,TP_OR_SL,96.935,1,97.074,-0.14,-0.14,0,0.06,0.06,-0.14,-0.14,0.65,0.01,1
71,Entry long,2024-01-18 07:00,AUDJPY_1200_LONG,97.074,1,97.074,-0.14,-0.14,0,0.06,0.06,-0.14,-0.14,0.65,0.01,1
72,Exit long,2024-01-19 10:00,TP_OR_SL,97.568,1,97.693,-0.12,-0.13,0,0.03,0.03,-0.12,-0.13,0.53,0.01,3
72,Entry long,2024-01-19 07:00,AUDJPY_1200_LONG,97.693,1,97.693,-0.12,-0.13,0,0.03,0.03,-0.12,-0.13,0.53,0.01,3
73,Exit long,2024-01-29 09:00,TP_OR_SL,97.545,1,97.65,-0.1,-0.11,0,0.05,0.05,-0.1,-0.11,0.42,0.00,2
73,Entry long,2024-01-29 07:00,AUDJPY_1200_LONG,97.65,1,97.65,-0.1,-0.11,0,0.05,0.05,-0.1,-0.11,0.42,0.00,2
74,Exit long,2024-02-06 08:00,TP_OR_SL,96.471,1,96.597,-0.13,-0.13,0,0.03,0.03,-0.13,-0.13,0.3,0.00,1
74,Entry long,2024-02-06 07:00,AUDJPY_1200_LONG,96.597,1,96.597,-0.13,-0.13,0,0.03,0.03,-0.13,-0.13,0.3,0.00,1
75,Exit long,2024-02-07 09:00,TP_OR_SL,96.63,1,96.736,-0.11,-0.11,0,0.06,0.06,-0.11,-0.11,0.19,0.00,2
75,Entry long,2024-02-07 07:00,AUDJPY_1200_LONG,96.736,1,96.736,-0.11,-0.11,0,0.06,0.06,-0.11,-0.11,0.19,0.00,2
76,Exit long,2024-02-08 09:00,TP_OR_SL,96.793,1,96.914,-0.12,-0.12,0,0.05,0.05,-0.12,-0.12,0.07,0.00,2
76,Entry long,2024-02-08 07:00,AUDJPY_1200_LONG,96.914,1,96.914,-0.12,-0.12,0,0.05,0.05,-0.12,-0.12,0.07,0.00,2
77,Exit long,2024-02-09 10:00,TIME_EXIT,97.369,1,97.303,0.07,0.07,0,0.16,0.16,-0.02,-0.02,0.14,0.00,3
77,Entry long,2024-02-09 07:00,AUDJPY_1200_LONG,97.303,1,97.303,0.07,0.07,0,0.16,0.16,-0.02,-0.02,0.14,0.00,3
78,Exit long,2024-02-13 08:00,TP_OR_SL,97.404,1,97.498,-0.09,-0.10,0,0.08,0.08,-0.09,-0.10,0.04,0.00,1
78,Entry long,2024-02-13 07:00,AUDJPY_1200_LONG,97.498,1,97.498,-0.09,-0.10,0,0.08,0.08,-0.09,-0.10,0.04,0.00,1
79,Exit long,2024-02-14 10:00,TIME_EXIT,97.692,1,97.584,0.11,0.11,0,0.12,0.13,-0.04,-0.05,0.15,0.00,3
79,Entry long,2024-02-14 07:00,AUDJPY_1200_LONG,97.584,1,97.584,0.11,0.11,0,0.12,0.13,-0.04,-0.05,0.15,0.00,3
80,Exit long,2024-02-15 10:00,TP_OR_SL,97.814,1,97.584,0.23,0.24,0,0.23,0.24,-0.03,-0.03,0.38,0.00,3
80,Entry long,2024-02-15 07:00,AUDJPY_1200_LONG,97.584,1,97.584,0.23,0.24,0,0.23,0.24,-0.03,-0.03,0.38,0.00,3
81,Exit long,2024-02-20 09:00,TP_OR_SL,98.442,1,98.532,-0.09,-0.09,0,0.08,0.09,-0.09,-0.09,0.29,0.00,2
81,Entry long,2024-02-20 07:00,AUDJPY_1200_LONG,98.532,1,98.532,-0.09,-0.09,0,0.08,0.09,-0.09,-0.09,0.29,0.00,2
82,Exit long,2024-02-23 09:00,TP_OR_SL,98.836,1,98.948,-0.11,-0.11,0,0.01,0.01,-0.11,-0.11,0.18,0.00,2
82,Entry long,2024-02-23 07:00,AUDJPY_1200_LONG,98.948,1,98.948,-0.11,-0.11,0,0.01,0.01,-0.11,-0.11,0.18,0.00,2
83,Exit long,2024-03-04 10:00,TP_OR_SL,97.97,1,98.076,-0.11,-0.11,0,0.03,0.03,-0.11,-0.11,0.07,0.00,3
83,Entry long,2024-03-04 07:00,AUDJPY_1200_LONG,98.076,1,98.076,-0.11,-0.11,0,0.03,0.03,-0.11,-0.11,0.07,0.00,3
84,Exit long,2024-03-12 09:00,TP_OR_SL,97.491,1,97.63,-0.14,-0.14,0,0.06,0.06,-0.14,-0.14,-0.07,0.00,1
84,Entry long,2024-03-12 08:00,AUDJPY_1200_LONG,97.63,1,97.63,-0.14,-0.14,0,0.06,0.06,-0.14,-0.14,-0.07,0.00,1
85,Exit long,2024-03-13 11:00,TIME_EXIT,97.833,1,97.802,0.03,0.03,0,0.14,0.14,-0.02,-0.02,-0.04,0.00,3
85,Entry long,2024-03-13 08:00,AUDJPY_1200_LONG,97.802,1,97.802,0.03,0.03,0,0.14,0.14,-0.02,-0.02,-0.04,0.00,3
86,Exit long,2024-03-19 10:00,TP_OR_SL,98.367,1,98.096,0.27,0.28,0,0.27,0.28,-0.01,-0.01,0.24,0.00,2
