Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
61,Exit long,2025-03-17 10:00,TIME_EXIT,0.58008,1,0.57882,0.001,0.22,0,0.002,0.26,-0.001,-0.10,0.02,0.00,3
61,Entry long,2025-03-17 07:00,NZDUSD_1100_LONG,0.57882,1,0.57882,0.001,0.22,0,0.002,0.26,-0.001,-0.10,0.02,0.00,3
62,Exit long,2025-04-10 10:00,TIME_EXIT,0.57402,1,0.57037,0.004,0.64,0,0.004,0.73,-0.001,-0.18,0.03,0.00,3
62,Entry long,2025-04-10 07:00,NZDUSD_1100_LONG,0.57037,1,0.57037,0.004,0.64,0,0.004,0.73,-0.001,-0.18,0.03,0.00,3
63,Exit long,2025-04-17 09:00,TP_OR_SL,0.59622,1,0.59376,0.002,0.41,0,0.002,0.41,-0.00002,0.00,0.03,0.00,2
63,Entry long,2025-04-17 07:00,NZDUSD_1100_LONG,0.59376,1,0.59376,0.002,0.41,0,0.002,0.41,-0.00002,0.00,0.03,0.00,2
64,Exit long,2025-05-05 10:00,TIME_EXIT,0.5984,1,0.59854,-0.0001,-0.02,0,0.001,0.18,-0.001,-0.20,0.03,0.00,3
64,Entry long,2025-05-05 07:00,NZDUSD_1100_LONG,0.59854,1,0.59854,-0.0001,-0.02,0,0.001,0.18,-0.001,-0.20,0.03,0.00,3
65,Exit long,2025-05-06 10:00,TIME_EXIT,0.5995,1,0.5984,0.001,0.18,0,0.002,0.29,-0.0005,-0.08,0.03,0.00,3
65,Entry long,2025-05-06 07:00,NZDUSD_1100_LONG,0.5984,1,0.5984,0.001,0.18,0,0.002,0.29,-0.0005,-0.08,0.03,0.00,3
66,Exit long,2025-06-04 10:00,TP_OR_SL,0.60341,1,0.60134,0.002,0.34,0,0.002,0.34,-0.0001,-0.01,0.03,0.00,3
66,Entry long,2025-06-04 07:00,NZDUSD_1100_LONG,0.60134,1,0.60134,0.002,0.34,0,0.002,0.34,-0.0001,-0.01,0.03,0.00,3
67,Exit long,2025-06-10 10:00,TIME_EXIT,0.60467,1,0.60516,-0.0005,-0.08,0,0.001,0.10,-0.001,-0.10,0.03,0.00,3
67,Entry long,2025-06-10 07:00,NZDUSD_1100_LONG,0.60516,1,0.60516,-0.0005,-0.08,0,0.001,0.10,-0.001,-0.10,0.03,0.00,3
