Trade number,Type,Date and time,Signal,Price AUD,Size (qty),Size (value),Net PnL AUD,Return %,Commission AUD,Favorable excursion AUD,Favorable excursion %,Adverse excursion AUD,Adverse excursion %,Cumulative PnL AUD,Cumulative PnL %,Duration (bars)
40,Exit long,2023-06-23 08:00,TP_OR_SL,1.63332,1,1.62724,0.01,0.37,0,0.01,0.37,-0.0002,-0.01,0.03,0.00,1
40,Entry long,2023-06-23 07:00,EURAUD_1100_LONG,1.62724,1,1.62724,0.01,0.37,0,0.01,0.37,-0.0002,-0.01,0.03,0.00,1
41,Exit long,2023-06-26 10:00,TIME_EXIT,1.63404,1,1.63382,0.0002,0.01,0,0.003,0.16,-0.001,-0.07,0.03,0.00,3
41,Entry long,2023-06-26 07:00,EURAUD_1100_LONG,1.63382,1,1.63382,0.0002,0.01,0,0.003,0.16,-0.001,-0.07,0.03,0.00,3
42,Exit long,2023-06-27 10:00,TIME_EXIT,1.63589,1,1.63644,-0.001,-0.03,0,0.002,0.13,-0.002,-0.14,0.03,0.00,3
42,Entry long,2023-06-27 07:00,EURAUD_1100_LONG,1.63644,1,1.63644,-0.001,-0.03,0,0.002,0.13,-0.002,-0.14,0.03,0.00,3
43,Exit long,2023-06-28 10:00,TIME_EXIT,1.65156,1,1.65186,-0.0003,-0.02,0,0.004,0.21,-0.003,-0.16,0.03,0.00,3
43,Entry long,2023-06-28 07:00,EURAUD_1100_LONG,1.65186,1,1.65186,-0.0003,-0.02,0,0.004,0.21,-0.003,-0.16,0.03,0.00,3
44,Exit long,2023-07-18 09:00,TP_OR_SL,1.6511,1,1.65376,-0.003,-0.16,0,0.0001,0.01,-0.003,-0.16,0.03,0.00,2
44,Entry long,2023-07-18 07:00,EURAUD_1100_LONG,1.65376,1,1.65376,-0.003,-0.16,0,0.0001,0.01,-0.003,-0.16,0.03,0.00,2
45,Exit long,2023-07-28 10:00,TIME_EXIT,1.65477,1,1.65042,0.004,0.26,0,0.01,0.36,-0.001,-0.07,0.03,0.00,3
45,Entry long,2023-07-28 07:00,EURAUD_1100_LONG,1.65042,1,1.65042,0.004,0.26,0,0.01,0.36,-0.001,-0.07,0.03,0.00,3
46,Exit long,2023-08-01 10:00,TIME_EXIT,1.65876,1,1.6558,0.003,0.18,0,0.004,0.25,-0.001,-0.07,0.03,0.00,3
46,Entry long,2023-08-01 07:00,EURAUD_1100_LONG,1.6558,1,1.6558,0.003,0.18,0,0.004,0.25,-0.001,-0.07,0.03,0.00,3
47,Exit long,2023-08-02 10:00,TIME_EXIT,1.67089,1,1.6694,0.001,0.09,0,0.004,0.24,-0.001,-0.04,0.04,0.00,3
47,Entry long,2023-08-02 07:00,EURAUD_1100_LONG,1.6694,1,1.6694,0.001,0.09,0,0.004,0.24,-0.001,-0.04,0.04,0.00,3
48,Exit long,2023-08-04 08:00,TP_OR_SL,1.66821,1,1.6708,-0.003,-0.16,0,0.001,0.08,-0.003,-0.16,0.03,0.00,1
48,Entry long,2023-08-04 07:00,EURAUD_1100_LONG,1.6708,1,1.6708,-0.003,-0.16,0,0.001,0.08,-0.003,-0.16,0.03,0.00,1
49,Exit long,2023-08-09 10:00,TP_OR_SL,1.68297,1,1.67775,0.01,0.31,0,0.01,0.31,-0.001,-0.03,0.04,0.00,3
49,Entry long,2023-08-09 07:00,EURAUD_1100_LONG,1.67775,1,1.67775,0.01,0.31,0,0.01,0.31,-0.001,-0.03,0.04,0.00,3
50,Exit long,2023-08-15 08:00,TP_OR_SL,1.68646,1,1.68952,-0.003,-0.18,0,0.0003,0.02,-0.003,-0.18,0.03,0.00,1
50,Entry long,2023-08-15 07:00,EURAUD_1100_LONG,1.68952,1,1.68952,-0.003,-0.18,0,0.0003,0.02,-0.003,-0.18,0.03,0.00,1
51,Exit long,2023-08-16 10:00,TIME_EXIT,1.68946,1,1.6901,-0.001,-0.04,0,0.004,0.25,-0.002,-0.11,0.03,0.00,3
51,Entry long,2023-08-16 07:00,EURAUD_1100_LONG,1.6901,1,1.6901,-0.001,-0.04,0,0.004,0.25,-0.002,-0.11,0.03,0.00,3
52,Exit long,2023-08-18 09:00,TP_OR_SL,1.69778,1,1.70053,-0.003,-0.16,0,0.001,0.04,-0.003,-0.16,0.03,0.00,2
52,Entry long,2023-08-18 07:00,EURAUD_1100_LONG,1.70053,1,1.70053,-0.003,-0.16,0,0.001,0.04,-0.003,-0.16,0.03,0.00,2
53,Exit long,2023-09-05 08:00,TP_OR_SL,1.68374,1,1.68616,-0.002,-0.14,0,0.0004,0.02,-0.002,-0.14,0.03,0.00,1
53,Entry long,2023-09-05 07:00,EURAUD_1100_LONG,1.68616,1,1.68616,-0.002,-0.14,0,0.0004,0.02,-0.002,-0.14,0.03,0.00,1
54,Exit long,2023-09-13 08:00,TP_OR_SL,1.67933,1,1.67526,0.004,0.24,0,0.004,0.24,-0.0002,-0.01,0.03,0.00,1
54,Entry long,2023-09-13 07:00,EURAUD_1100_LONG,1.67526,1,1.67526,0.004,0.24,0,0.004,0.24,-0.0002,-0.01,0.03,0.00,1
55,Exit long,2023-09-27 09:00,TP_OR_SL,1.65307,1,1.65524,-0.002,-0.13,0,0.0004,0.03,-0.002,-0.13,0.03,0.00,2
55,Entry long,2023-09-27 07:00,EURAUD_1100_LONG,1.65524,1,1.65524,-0.002,-0.13,0,0.0004,0.03,-0.002,-0.13,0.03,0.00,2
56,Exit long,2023-10-03 10:00,TP_OR_SL,1.65884,1,1.6616,-0.003,-0.17,0,0.0002,0.01,-0.003,-0.17,0.03,0.00,3
56,Entry long,2023-10-03 07:00,EURAUD_1100_LONG,1.6616,1,1.6616,-0.003,-0.17,0,0.0002,0.01,-0.003,-0.17,0.03,0.00,3
57,Exit long,2023-10-04 10:00,TIME_EXIT,1.66268,1,1.66124,0.001,0.09,0,0.002,0.13,-0.002,-0.14,0.03,0.00,3
