Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
60,Exit long,2024-05-22 04:00,TP_OR_SL,169.703,1,169.846,-0.14,-0.08,0,0.04,0.02,-0.14,-0.08,3.88,0.04,2
60,Entry long,2024-05-22 02:00,EURJPY_0600_LONG,169.846,1,169.846,-0.14,-0.08,0,0.04,0.02,-0.14,-0.08,3.88,0.04,2
61,Exit long,2024-05-28 05:00,TIME_EXIT,170.706,1,170.617,0.09,0.05,0,0.11,0.06,-0.11,-0.07,3.97,0.04,3
61,Entry long,2024-05-28 02:00,EURJPY_0600_LONG,170.617,1,170.617,0.09,0.05,0,0.11,0.06,-0.11,-0.07,3.97,0.04,3
62,Exit long,2024-06-05 05:00,TIME_EXIT,169.674,1,169.556,0.12,0.07,0,0.45,0.26,-0.05,-0.03,4.08,0.04,3
62,Entry long,2024-06-05 02:00,EURJPY_0600_LONG,169.556,1,169.556,0.12,0.07,0,0.45,0.26,-0.05,-0.03,4.08,0.04,3
63,Exit long,2024-06-06 05:00,TIME_EXIT,169.696,1,169.86,-0.16,-0.10,0,0.22,0.13,-0.22,-0.13,3.92,0.04,3
63,Entry long,2024-06-06 02:00,EURJPY_0600_LONG,169.86,1,169.86,-0.16,-0.10,0,0.22,0.13,-0.22,-0.13,3.92,0.04,3
64,Exit long,2024-06-18 05:00,TIME_EXIT,169.478,1,169.544,-0.07,-0.04,0,0.16,0.10,-0.12,-0.07,3.85,0.04,3
64,Entry long,2024-06-18 02:00,EURJPY_0600_LONG,169.544,1,169.544,-0.07,-0.04,0,0.16,0.10,-0.12,-0.07,3.85,0.04,3
65,Exit long,2024-07-03 03:00,TP_OR_SL,174.18,1,173.9,0.28,0.16,0,0.28,0.16,-0.02,-0.01,4.13,0.04,1
65,Entry long,2024-07-03 02:00,EURJPY_0600_LONG,173.9,1,173.9,0.28,0.16,0,0.28,0.16,-0.02,-0.01,4.13,0.04,1
66,Exit long,2024-07-30 03:00,TP_OR_SL,167.483,1,167.806,-0.32,-0.19,0,0.1,0.06,-0.32,-0.19,3.81,0.04,1
66,Entry long,2024-07-30 02:00,EURJPY_0600_LONG,167.806,1,167.806,-0.32,-0.19,0,0.1,0.06,-0.32,-0.19,3.81,0.04,1
67,Exit long,2024-08-12 05:00,TIME_EXIT,160.981,1,160.792,0.19,0.12,0,0.26,0.16,-0.14,-0.09,4,0.04,3
67,Entry long,2024-08-12 02:00,EURJPY_0600_LONG,160.792,1,160.792,0.19,0.12,0,0.26,0.16,-0.14,-0.09,4,0.04,3
68,Exit long,2024-08-14 05:00,TIME_EXIT,162.189,1,161.912,0.28,0.17,0,0.43,0.27,-0.05,-0.03,4.28,0.04,3
68,Entry long,2024-08-14 02:00,EURJPY_0600_LONG,161.912,1,161.912,0.28,0.17,0,0.43,0.27,-0.05,-0.03,4.28,0.04,3
69,Exit long,2024-08-21 05:00,TIME_EXIT,162.44,1,162.268,0.17,0.11,0,0.25,0.16,-0.19,-0.12,4.45,0.04,3
69,Entry long,2024-08-21 02:00,EURJPY_0600_LONG,162.268,1,162.268,0.17,0.11,0,0.25,0.16,-0.19,-0.12,4.45,0.04,3
70,Exit long,2024-09-02 04:00,TP_OR_SL,162.263,1,161.741,0.52,0.32,0,0.52,0.32,-0.08,-0.05,4.97,0.05,2
70,Entry long,2024-09-02 02:00,EURJPY_0600_LONG,161.741,1,161.741,0.52,0.32,0,0.52,0.32,-0.08,-0.05,4.97,0.05,2
71,Exit long,2024-09-10 05:00,TP_OR_SL,158.16,1,158.454,-0.29,-0.19,0,0.19,0.12,-0.29,-0.19,4.68,0.05,3
71,Entry long,2024-09-10 02:00,EURJPY_0600_LONG,158.454,1,158.454,-0.29,-0.19,0,0.19,0.12,-0.29,-0.19,4.68,0.05,3
72,Exit long,2024-09-20 05:00,TIME_EXIT,160.656,1,159.81,0.85,0.53,0,0.88,0.55,-0.12,-0.08,5.52,0.06,3
72,Entry long,2024-09-20 02:00,EURJPY_0600_LONG,159.81,1,159.81,0.85,0.53,0,0.88,0.55,-0.12,-0.08,5.52,0.06,3
73,Exit long,2024-09-24 05:00,TIME_EXIT,160.651,1,160.534,0.12,0.07,0,0.58,0.36,-0.05,-0.03,5.64,0.06,3
73,Entry long,2024-09-24 02:00,EURJPY_0600_LONG,160.534,1,160.534,0.12,0.07,0,0.58,0.36,-0.05,-0.03,5.64,0.06,3
74,Exit long,2024-09-25 05:00,TIME_EXIT,161.248,1,160.791,0.46,0.28,0,0.5,0.31,-0.08,-0.05,6.1,0.06,3
74,Entry long,2024-09-25 02:00,EURJPY_0600_LONG,160.791,1,160.791,0.46,0.28,0,0.5,0.31,-0.08,-0.05,6.1,0.06,3
75,Exit long,2024-11-13 02:00,TP_OR_SL,164.351,1,164.554,-0.2,-0.12,0,0.04,0.03,-0.2,-0.12,5.89,0.06,1
75,Entry long,2024-11-13 01:00,EURJPY_0600_LONG,164.554,1,164.554,-0.2,-0.12,0,0.04,0.03,-0.2,-0.12,5.89,0.06,1
76,Exit long,2024-11-20 04:00,TIME_EXIT,164.412,1,164.487,-0.07,-0.05,0,0.28,0.17,-0.15,-0.09,5.82,0.06,3
76,Entry long,2024-11-20 01:00,EURJPY_0600_LONG,164.487,1,164.487,-0.07,-0.05,0,0.28,0.17,-0.15,-0.09,5.82,0.06,3
77,Exit long,2024-11-25 02:00,TP_OR_SL,161.389,1,161.763,-0.37,-0.23,0,0.001,0.00,-0.37,-0.23,5.45,0.05,1
