Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
68,Exit long,2026-06-09 10:00,TP_OR_SL,1.33921,1,1.34008,-0.001,-0.06,0,0.001,0.08,-0.001,-0.06,0.01,0.00,6
68,Entry long,2026-06-09 07:00,GBPUSD_1100_LONG,1.34008,1,1.34008,-0.001,-0.06,0,0.001,0.08,-0.001,-0.06,0.01,0.00,6
69,Exit short,2026-06-17 08:30,TP_OR_SL,1.34138,1,1.34061,-0.001,-0.06,0,0.001,0.05,-0.001,-0.06,0.01,0.00,3
69,Entry short,2026-06-17 07:00,GBPUSD_1100_SHORT,1.34061,1,1.34061,-0.001,-0.06,0,0.001,0.05,-0.001,-0.06,0.01,0.00,3
70,Exit short,2026-06-18 08:00,TP_OR_SL,1.3236,1,1.32205,-0.002,-0.12,0,0.002,0.12,-0.002,-0.12,0.01,0.00,2
70,Entry short,2026-06-18 07:00,GBPUSD_1100_SHORT,1.32205,1,1.32205,-0.002,-0.12,0,0.002,0.12,-0.002,-0.12,0.01,0.00,2
71,Exit short,2026-06-25 08:30,TP_OR_SL,1.31684,1,1.31588,-0.001,-0.07,0,0.001,0.06,-0.001,-0.07,0.01,0.00,3
71,Entry short,2026-06-25 07:00,GBPUSD_1100_SHORT,1.31588,1,1.31588,-0.001,-0.07,0,0.001,0.06,-0.001,-0.07,0.01,0.00,3
72,Exit long,2026-06-29 10:00,TIME_EXIT,1.32424,1,1.32326,0.001,0.07,0,0.001,0.11,-0.001,-0.06,0.01,0.00,6
72,Entry long,2026-06-29 07:00,GBPUSD_1100_LONG,1.32326,1,1.32326,0.001,0.07,0,0.001,0.11,-0.001,-0.06,0.01,0.00,6
73,Exit short,2026-07-17 07:00,TP_OR_SL,1.34404,1,1.34316,-0.001,-0.07,0,0.0004,0.03,-0.001,-0.07,0.01,0.00,1
73,Entry short,2026-07-17 06:30,GBPUSD_1030_SHORT,1.34316,1,1.34316,-0.001,-0.07,0,0.0004,0.03,-0.001,-0.07,0.01,0.00,1
