Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
52,Exit long,2023-11-17 09:00,TIME_EXIT,0.64922,1,0.65004,-0.001,-0.13,0,0.001,0.13,-0.001,-0.20,0.01,0.00,3
52,Entry long,2023-11-17 06:00,AUDUSD_HL_BASE,0.65004,1,0.65004,-0.001,-0.13,0,0.001,0.13,-0.001,-0.20,0.01,0.00,3
53,Exit long,2023-11-22 08:00,TP_OR_SL,0.65514,1,0.65638,-0.001,-0.19,0,0.001,0.08,-0.001,-0.19,0.01,0.00,2
53,Entry long,2023-11-22 06:00,AUDUSD_HL_BASE,0.65638,1,0.65638,-0.001,-0.19,0,0.001,0.08,-0.001,-0.19,0.01,0.00,2
54,Exit long,2023-11-23 07:00,TP_OR_SL,0.65565,1,0.65662,-0.001,-0.15,0,0.0001,0.01,-0.001,-0.15,0.01,0.00,1
54,Entry long,2023-11-23 06:00,AUDUSD_HL_BASE,0.65662,1,0.65662,-0.001,-0.15,0,0.0001,0.01,-0.001,-0.15,0.01,0.00,1
55,Exit long,2023-11-24 08:00,TP_OR_SL,0.65635,1,0.65714,-0.001,-0.12,0,0.001,0.10,-0.001,-0.12,0.005,0.00,2
55,Entry long,2023-11-24 06:00,AUDUSD_HL_BASE,0.65714,1,0.65714,-0.001,-0.12,0,0.001,0.10,-0.001,-0.12,0.005,0.00,2
56,Exit long,2023-11-27 09:00,TP_OR_SL,0.65939,1,0.66032,-0.001,-0.14,0,0.001,0.17,-0.001,-0.14,0.004,0.00,3
56,Entry long,2023-11-27 06:00,AUDUSD_HL_BASE,0.66032,1,0.66032,-0.001,-0.14,0,0.001,0.17,-0.001,-0.14,0.004,0.00,3
57,Exit long,2023-11-28 09:00,TIME_EXIT,0.66246,1,0.66141,0.001,0.16,0,0.002,0.27,-0.001,-0.11,0.01,0.00,3
57,Entry long,2023-11-28 06:00,AUDUSD_HL_BASE,0.66141,1,0.66141,0.001,0.16,0,0.002,0.27,-0.001,-0.11,0.01,0.00,3
58,Exit long,2023-12-14 08:00,TP_OR_SL,0.66954,1,0.67126,-0.002,-0.26,0,0.001,0.13,-0.002,-0.26,0.003,0.00,2
58,Entry long,2023-12-14 06:00,AUDUSD_HL_BASE,0.67126,1,0.67126,-0.002,-0.26,0,0.001,0.13,-0.002,-0.26,0.003,0.00,2
59,Exit long,2023-12-19 09:00,TP_OR_SL,0.67546,1,0.67328,0.002,0.32,0,0.002,0.32,-0.0002,-0.02,0.01,0.00,3
59,Entry long,2023-12-19 06:00,AUDUSD_HL_BASE,0.67328,1,0.67328,0.002,0.32,0,0.002,0.32,-0.0002,-0.02,0.01,0.00,3
60,Exit long,2023-12-20 07:00,TP_OR_SL,0.67611,1,0.67711,-0.001,-0.15,0,0.0001,0.02,-0.001,-0.15,0.005,0.00,1
60,Entry long,2023-12-20 06:00,AUDUSD_HL_BODY_EXTREME,0.67711,1,0.67711,-0.001,-0.15,0,0.0001,0.02,-0.001,-0.15,0.005,0.00,1
61,Exit long,2023-12-21 08:00,TP_OR_SL,0.67774,1,0.67566,0.002,0.31,0,0.002,0.31,-0.0001,-0.02,0.01,0.00,2
61,Entry long,2023-12-21 06:00,AUDUSD_HL_BODY_EXTREME,0.67566,1,0.67566,0.002,0.31,0,0.002,0.31,-0.0001,-0.02,0.01,0.00,2
62,Exit long,2023-12-22 08:00,TP_OR_SL,0.67997,1,0.681,-0.001,-0.15,0,0.001,0.09,-0.001,-0.15,0.01,0.00,2
62,Entry long,2023-12-22 06:00,AUDUSD_HL_BODY_EXTREME,0.681,1,0.681,-0.001,-0.15,0,0.001,0.09,-0.001,-0.15,0.01,0.00,2
63,Exit long,2023-12-27 09:00,TIME_EXIT,0.68422,1,0.68402,0.0002,0.03,0,0.0004,0.06,-0.001,-0.12,0.01,0.00,3
63,Entry long,2023-12-27 06:00,AUDUSD_HL_BASE,0.68402,1,0.68402,0.0002,0.03,0,0.0004,0.06,-0.001,-0.12,0.01,0.00,3
64,Exit long,2024-01-19 08:00,TP_OR_SL,0.65884,1,0.65992,-0.001,-0.16,0,0.0001,0.01,-0.001,-0.16,0.005,0.00,2
64,Entry long,2024-01-19 06:00,AUDUSD_HL_BASE,0.65992,1,0.65992,-0.001,-0.16,0,0.0001,0.01,-0.001,-0.16,0.005,0.00,2
65,Exit long,2024-01-25 07:00,TP_OR_SL,0.65819,1,0.65916,-0.001,-0.15,0,0.0001,0.01,-0.001,-0.15,0.004,0.00,1
65,Entry long,2024-01-25 06:00,AUDUSD_HL_BASE,0.65916,1,0.65916,-0.001,-0.15,0,0.0001,0.01,-0.001,-0.15,0.004,0.00,1
66,Exit long,2024-01-26 08:00,TP_OR_SL,0.65883,1,0.65978,-0.001,-0.14,0,0.0003,0.04,-0.001,-0.14,0.003,0.00,2
66,Entry long,2024-01-26 06:00,AUDUSD_HL_BASE,0.65978,1,0.65978,-0.001,-0.14,0,0.0003,0.04,-0.001,-0.14,0.003,0.00,2
67,Exit long,2024-01-29 09:00,TP_OR_SL,0.65905,1,0.65992,-0.001,-0.13,0,0.001,0.09,-0.001,-0.13,0.002,0.00,3
67,Entry long,2024-01-29 06:00,AUDUSD_HL_BASE,0.65992,1,0.65992,-0.001,-0.13,0,0.001,0.09,-0.001,-0.13,0.002,0.00,3
68,Exit long,2024-02-02 08:00,TP_OR_SL,0.65955,1,0.66057,-0.001,-0.15,0,0.0005,0.07,-0.001,-0.15,0.001,0.00,2
68,Entry long,2024-02-02 06:00,AUDUSD_HL_BASE,0.66057,1,0.66057,-0.001,-0.15,0,0.0005,0.07,-0.001,-0.15,0.001,0.00,2
69,Exit long,2024-02-07 09:00,TIME_EXIT,0.65292,1,0.6527,0.0002,0.03,0,0.001,0.11,-0.001,-0.11,0.001,0.00,3
69,Entry long,2024-02-07 06:00,AUDUSD_HL_BASE,0.6527,1,0.6527,0.0002,0.03,0,0.001,0.11,-0.001,-0.11,0.001,0.00,3
70,Exit long,2024-02-09 08:00,TP_OR_SL,0.65254,1,0.6511,0.001,0.22,0,0.001,0.22,-0.0003,-0.05,0.003,0.00,2
70,Entry long,2024-02-09 06:00,AUDUSD_HL_BASE,0.6511,1,0.6511,0.001,0.22,0,0.001,0.22,-0.0003,-0.05,0.003,0.00,2
71,Exit long,2024-02-12 09:00,TIME_EXIT,0.6528,1,0.65228,0.001,0.08,0,0.001,0.12,-0.0005,-0.07,0.003,0.00,3
71,Entry long,2024-02-12 06:00,AUDUSD_HL_BASE,0.65228,1,0.65228,0.001,0.08,0,0.001,0.12,-0.0005,-0.07,0.003,0.00,3
72,Exit long,2024-02-14 09:00,TIME_EXIT,0.64776,1,0.64769,0.0001,0.01,0,0.001,0.17,-0.0004,-0.07,0.003,0.00,3
72,Entry long,2024-02-14 06:00,AUDUSD_HL_BASE,0.64769,1,0.64769,0.0001,0.01,0,0.001,0.17,-0.0004,-0.07,0.003,0.00,3
73,Exit long,2024-02-15 08:00,TP_OR_SL,0.65158,1,0.65002,0.002,0.24,0,0.002,0.24,-0.0001,-0.02,0.005,0.00,2
73,Entry long,2024-02-15 06:00,AUDUSD_HL_BASE,0.65002,1,0.65002,0.002,0.24,0,0.002,0.24,-0.0001,-0.02,0.005,0.00,2
74,Exit long,2024-02-16 08:00,TP_OR_SL,0.65185,1,0.65255,-0.001,-0.11,0,0.0004,0.06,-0.001,-0.11,0.004,0.00,2
74,Entry long,2024-02-16 06:00,AUDUSD_HL_BASE,0.65255,1,0.65255,-0.001,-0.11,0,0.0004,0.06,-0.001,-0.11,0.004,0.00,2
75,Exit long,2024-02-20 08:00,TP_OR_SL,0.65706,1,0.65562,0.001,0.22,0,0.001,0.22,0,0.00,0.01,0.00,2
75,Entry long,2024-02-20 06:00,AUDUSD_HL_BASE,0.65562,1,0.65562,0.001,0.22,0,0.001,0.22,0,0.00,0.01,0.00,2
76,Exit long,2024-02-23 09:00,TIME_EXIT,0.657,1,0.65664,0.0004,0.05,0,0.001,0.21,-0.00002,0.00,0.01,0.00,3
76,Entry long,2024-02-23 06:00,AUDUSD_HL_BODY_EXTREME,0.65664,1,0.65664,0.0004,0.05,0,0.001,0.21,-0.00002,0.00,0.01,0.00,3
77,Exit long,2024-03-01 08:00,TP_OR_SL,0.64987,1,0.65077,-0.001,-0.14,0,0.0001,0.02,-0.001,-0.14,0.005,0.00,2
77,Entry long,2024-03-01 06:00,AUDUSD_HL_BASE,0.65077,1,0.65077,-0.001,-0.14,0,0.0001,0.02,-0.001,-0.14,0.005,0.00,2
78,Exit long,2024-03-06 08:00,TP_OR_SL,0.65416,1,0.6526,0.002,0.24,0,0.002,0.24,-0.001,-0.09,0.01,0.00,2
78,Entry long,2024-03-06 06:00,AUDUSD_HL_BODY_EXTREME,0.6526,1,0.6526,0.002,0.24,0,0.002,0.24,-0.001,-0.09,0.01,0.00,2
79,Exit long,2024-03-07 09:00,TIME_EXIT,0.66111,1,0.6604,0.001,0.11,0,0.001,0.21,-0.0002,-0.03,0.01,0.00,3
79,Entry long,2024-03-07 06:00,AUDUSD_HL_BASE,0.6604,1,0.6604,0.001,0.11,0,0.001,0.21,-0.0002,-0.03,0.01,0.00,3
80,Exit long,2024-03-08 07:00,TP_OR_SL,0.66381,1,0.66462,-0.001,-0.12,0,0,0.00,-0.001,-0.12,0.01,0.00,1
80,Entry long,2024-03-08 06:00,AUDUSD_HL_BASE,0.66462,1,0.66462,-0.001,-0.12,0,0,0.00,-0.001,-0.12,0.01,0.00,1
81,Exit long,2024-03-13 10:00,TIME_EXIT,0.66198,1,0.66128,0.001,0.11,0,0.001,0.18,-0.001,-0.09,0.01,0.00,3
81,Entry long,2024-03-13 07:00,AUDUSD_HL_BASE,0.66128,1,0.66128,0.001,0.11,0,0.001,0.18,-0.001,-0.09,0.01,0.00,3
82,Exit long,2024-03-14 08:00,TP_OR_SL,0.66166,1,0.6624,-0.001,-0.11,0,0.001,0.09,-0.001,-0.11,0.01,0.00,1
82,Entry long,2024-03-14 07:00,AUDUSD_HL_BASE,0.6624,1,0.6624,-0.001,-0.11,0,0.001,0.09,-0.001,-0.11,0.01,0.00,1
83,Exit long,2024-03-25 10:00,TIME_EXIT,0.65431,1,0.6532,0.001,0.17,0,0.001,0.23,-0.0001,-0.01,0.01,0.00,3
