Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL JPY,Return %,Commission JPY,Favorable excursion JPY,Favorable excursion %,Adverse excursion JPY,Adverse excursion %,Cumulative PnL JPY,Cumulative PnL %,Duration (bars)
50,Exit long,2023-08-09 09:00,TP_OR_SL,143.275,0.69,98.9736,-0.11,-0.12,0,0.07,0.07,-0.11,-0.12,3,0.03,2
50,Entry long,2023-08-09 07:00,BODY_EXTREME_LONG,143.44,0.69,98.9736,-0.11,-0.12,0,0.07,0.07,-0.11,-0.12,3,0.03,2
51,Exit long,2023-08-10 12:00,TIME_EXIT,144.45,0.69,99.4566,0.21,0.22,0,0.24,0.24,-0.05,-0.05,3.22,0.03,3
51,Entry long,2023-08-10 09:00,BODY_EXTREME_LONG,144.14,0.69,99.4566,0.21,0.22,0,0.24,0.24,-0.05,-0.05,3.22,0.03,3
52,Exit long,2023-08-11 10:00,TP_OR_SL,144.64,0.69,99.91062,-0.11,-0.11,0,0.06,0.06,-0.11,-0.11,3.11,0.03,2
52,Entry long,2023-08-11 08:00,BODY_EXTREME_LONG,144.798,0.69,99.91062,-0.11,-0.11,0,0.06,0.06,-0.11,-0.11,3.11,0.03,2
53,Exit long,2023-08-14 11:00,TIME_EXIT,145.3,0.68,98.838,-0.03,-0.03,0,0.16,0.16,-0.09,-0.09,3.07,0.03,3
53,Entry long,2023-08-14 08:00,BODY_EXTREME_LONG,145.35,0.68,98.838,-0.03,-0.03,0,0.16,0.16,-0.09,-0.09,3.07,0.03,3
54,Exit long,2023-08-16 10:00,TIME_EXIT,145.805,0.68,99.11884,0.03,0.03,0,0.12,0.12,-0.07,-0.07,3.1,0.03,3
54,Entry long,2023-08-16 07:00,BODY_EXTREME_LONG,145.763,0.68,99.11884,0.03,0.03,0,0.12,0.12,-0.07,-0.07,3.1,0.03,3
55,Exit long,2023-08-21 11:00,TIME_EXIT,146.267,0.68,99.34188,0.12,0.12,0,0.21,0.21,-0.05,-0.05,3.22,0.03,3
55,Entry long,2023-08-21 08:00,BODY_EXTREME_LONG,146.091,0.68,99.34188,0.12,0.12,0,0.21,0.21,-0.05,-0.05,3.22,0.03,3
56,Exit long,2023-08-22 11:00,TP_OR_SL,145.772,0.68,99.25144,-0.13,-0.13,0,0.12,0.12,-0.13,-0.13,3.1,0.03,3
56,Entry long,2023-08-22 08:00,BODY_EXTREME_LONG,145.958,0.68,99.25144,-0.13,-0.13,0,0.12,0.12,-0.13,-0.13,3.1,0.03,3
57,Exit long,2023-08-25 11:00,TP_OR_SL,146.334,0.68,99.65944,-0.15,-0.15,0,0.02,0.02,-0.15,-0.15,2.94,0.03,1
57,Entry long,2023-08-25 10:00,BODY_EXTREME_LONG,146.558,0.68,99.65944,-0.15,-0.15,0,0.02,0.02,-0.15,-0.15,2.94,0.03,1
58,Exit long,2023-08-28 11:00,TP_OR_SL,146.509,0.68,99.73152,-0.11,-0.11,0,0.06,0.06,-0.11,-0.11,2.84,0.03,1
58,Entry long,2023-08-28 10:00,BODY_EXTREME_LONG,146.664,0.68,99.73152,-0.11,-0.11,0,0.06,0.06,-0.11,-0.11,2.84,0.03,1
59,Exit long,2023-08-29 10:00,TP_OR_SL,146.985,0.67,98.5838,-0.1,-0.11,0,0.16,0.16,-0.1,-0.11,2.73,0.03,3
59,Entry long,2023-08-29 07:00,BODY_EXTREME_LONG,147.14,0.67,98.5838,-0.1,-0.11,0,0.16,0.16,-0.1,-0.11,2.73,0.03,3
60,Exit long,2023-09-05 08:00,TP_OR_SL,147.205,0.67,98.72182,-0.09,-0.10,0,0.11,0.11,-0.09,-0.10,2.64,0.03,1
60,Entry long,2023-09-05 07:00,BODY_EXTREME_LONG,147.346,0.67,98.72182,-0.09,-0.10,0,0.11,0.11,-0.09,-0.10,2.64,0.03,1
61,Exit long,2023-09-06 13:00,TIME_EXIT,147.613,0.67,98.89334,0.01,0.01,0,0.07,0.07,-0.08,-0.08,2.65,0.03,3
61,Entry long,2023-09-06 10:00,BODY_EXTREME_LONG,147.602,0.67,98.89334,0.01,0.01,0,0.07,0.07,-0.08,-0.08,2.65,0.03,3
62,Exit long,2023-09-08 10:00,TP_OR_SL,147.362,0.67,98.8585,-0.13,-0.13,0,0.1,0.10,-0.13,-0.13,2.52,0.03,2
62,Entry long,2023-09-08 08:00,BODY_EXTREME_LONG,147.55,0.67,98.8585,-0.13,-0.13,0,0.1,0.10,-0.13,-0.13,2.52,0.03,2
63,Exit long,2023-09-19 09:00,TP_OR_SL,147.668,0.67,99.01126,-0.07,-0.07,0,0.04,0.04,-0.07,-0.07,2.45,0.02,1
63,Entry long,2023-09-19 08:00,BODY_EXTREME_LONG,147.778,0.67,99.01126,-0.07,-0.07,0,0.04,0.04,-0.07,-0.07,2.45,0.02,1
64,Exit long,2023-09-25 10:00,TP_OR_SL,148.921,0.67,99.61292,0.16,0.16,0,0.16,0.16,-0.02,-0.02,2.61,0.03,3
64,Entry long,2023-09-25 07:00,BODY_EXTREME_LONG,148.676,0.67,99.61292,0.16,0.16,0,0.16,0.16,-0.02,-0.02,2.61,0.03,3
65,Exit long,2023-09-27 12:00,TP_OR_SL,149.624,0.66,98.5908,0.16,0.16,0,0.16,0.16,-0.03,-0.03,2.77,0.03,3
65,Entry long,2023-09-27 09:00,BODY_EXTREME_LONG,149.38,0.66,98.5908,0.16,0.16,0,0.16,0.16,-0.03,-0.03,2.77,0.03,3
66,Exit long,2023-09-28 09:00,TP_OR_SL,149.311,0.66,98.6403,-0.1,-0.10,0,0.01,0.01,-0.1,-0.10,2.68,0.03,1
66,Entry long,2023-09-28 08:00,BODY_EXTREME_LONG,149.455,0.66,98.6403,-0.1,-0.10,0,0.01,0.01,-0.1,-0.10,2.68,0.03,1
67,Exit long,2023-10-02 11:00,TIME_EXIT,149.81,0.66,98.87196,0.003,0.00,0,0.05,0.05,-0.09,-0.09,2.68,0.03,3
67,Entry long,2023-10-02 08:00,BODY_EXTREME_LONG,149.806,0.66,98.87196,0.003,0.00,0,0.05,0.05,-0.09,-0.09,2.68,0.03,3
68,Exit long,2023-10-03 09:00,TP_OR_SL,149.875,0.66,98.98416,-0.07,-0.07,0,0.002,0.00,-0.07,-0.07,2.61,0.03,2
68,Entry long,2023-10-03 07:00,BODY_EXTREME_LONG,149.976,0.66,98.98416,-0.07,-0.07,0,0.002,0.00,-0.07,-0.07,2.61,0.03,2
69,Exit long,2023-10-11 11:00,TP_OR_SL,148.967,0.67,99.92112,-0.11,-0.11,0,0.03,0.03,-0.11,-0.11,2.5,0.03,1
