Trade number,Type,Date and time,Signal,Price CHF,Size (qty),Size (value),Net PnL CHF,Return %,Commission CHF,Favorable excursion CHF,Favorable excursion %,Adverse excursion CHF,Adverse excursion %,Cumulative PnL CHF,Cumulative PnL %,Duration (bars)
59,Exit short,2024-11-08 08:00,TP_OR_SL,0.87214,1,0.87094,-0.001,-0.14,0,0.0001,0.01,-0.001,-0.14,0.02,0.00,2
59,Entry short,2024-11-08 06:00,USDCHF_1100_SHORT,0.87094,1,0.87094,-0.001,-0.14,0,0.0001,0.01,-0.001,-0.14,0.02,0.00,2
60,Exit short,2024-12-05 08:00,TP_OR_SL,0.88135,1,0.88334,0.002,0.23,0,0.002,0.23,-0.001,-0.09,0.02,0.00,2
60,Entry short,2024-12-05 06:00,USDCHF_1100_SHORT,0.88334,1,0.88334,0.002,0.23,0,0.002,0.23,-0.001,-0.09,0.02,0.00,2
61,Exit short,2024-12-06 08:00,TP_OR_SL,0.87531,1,0.87716,0.002,0.21,0,0.002,0.21,-0.001,-0.07,0.02,0.00,2
61,Entry short,2024-12-06 06:00,USDCHF_1100_SHORT,0.87716,1,0.87716,0.002,0.21,0,0.002,0.21,-0.001,-0.07,0.02,0.00,2
62,Exit short,2025-01-27 08:00,TP_OR_SL,0.89886,1,0.89742,-0.001,-0.16,0,0.0003,0.03,-0.001,-0.16,0.02,0.00,2
62,Entry short,2025-01-27 06:00,USDCHF_1100_SHORT,0.89742,1,0.89742,-0.001,-0.16,0,0.0003,0.03,-0.001,-0.16,0.02,0.00,2
63,Exit short,2025-02-13 09:00,TIME_EXIT,0.90747,1,0.90761,0.0001,0.02,0,0.001,0.12,-0.001,-0.10,0.02,0.00,3
63,Entry short,2025-02-13 06:00,USDCHF_1100_SHORT,0.90761,1,0.90761,0.0001,0.02,0,0.001,0.12,-0.001,-0.10,0.02,0.00,3
64,Exit short,2025-02-25 07:00,TP_OR_SL,0.8934,1,0.89513,0.002,0.19,0,0.002,0.19,-0.00003,0.00,0.02,0.00,1
64,Entry short,2025-02-25 06:00,USDCHF_1100_SHORT,0.89513,1,0.89513,0.002,0.19,0,0.002,0.19,-0.00003,0.00,0.02,0.00,1
65,Exit short,2025-03-04 09:00,TP_OR_SL,0.89103,1,0.88968,-0.001,-0.15,0,0.003,0.28,-0.001,-0.15,0.02,0.00,3
65,Entry short,2025-03-04 06:00,USDCHF_1100_SHORT,0.88968,1,0.88968,-0.001,-0.15,0,0.003,0.28,-0.001,-0.15,0.02,0.00,3
66,Exit short,2025-03-06 07:00,TP_OR_SL,0.8871,1,0.88532,-0.002,-0.20,0,0.0003,0.04,-0.002,-0.20,0.02,0.00,1
66,Entry short,2025-03-06 06:00,USDCHF_1100_SHORT,0.88532,1,0.88532,-0.002,-0.20,0,0.0003,0.04,-0.002,-0.20,0.02,0.00,1
67,Exit short,2025-04-04 09:00,TP_OR_SL,0.85326,1,0.85069,-0.003,-0.30,0,0.002,0.21,-0.003,-0.30,0.02,0.00,2
67,Entry short,2025-04-04 07:00,USDCHF_1100_SHORT,0.85069,1,0.85069,-0.003,-0.30,0,0.002,0.21,-0.003,-0.30,0.02,0.00,2
68,Exit short,2025-04-08 10:00,TP_OR_SL,0.85719,1,0.85452,-0.003,-0.31,0,0.002,0.28,-0.003,-0.31,0.01,0.00,3
68,Entry short,2025-04-08 07:00,USDCHF_1100_SHORT,0.85452,1,0.85452,-0.003,-0.31,0,0.002,0.28,-0.003,-0.31,0.01,0.00,3
69,Exit short,2025-04-09 10:00,TIME_EXIT,0.84048,1,0.84056,0.0001,0.01,0,0.005,0.55,-0.0003,-0.04,0.01,0.00,3
69,Entry short,2025-04-09 07:00,USDCHF_1100_SHORT,0.84056,1,0.84056,0.0001,0.01,0,0.005,0.55,-0.0003,-0.04,0.01,0.00,3
70,Exit short,2025-04-10 10:00,TIME_EXIT,0.8335,1,0.83982,0.01,0.75,0,0.01,0.79,-0.0002,-0.03,0.02,0.00,3
70,Entry short,2025-04-10 07:00,USDCHF_1100_SHORT,0.83982,1,0.83982,0.01,0.75,0,0.01,0.79,-0.0002,-0.03,0.02,0.00,3
71,Exit short,2025-04-16 10:00,TIME_EXIT,0.81536,1,0.81572,0.0004,0.04,0,0.003,0.33,-0.001,-0.09,0.02,0.00,3
71,Entry short,2025-04-16 07:00,USDCHF_1100_SHORT,0.81572,1,0.81572,0.0004,0.04,0,0.003,0.33,-0.001,-0.09,0.02,0.00,3
72,Exit short,2025-05-05 10:00,TIME_EXIT,0.82203,1,0.8233,0.001,0.15,0,0.002,0.23,-0.0003,-0.03,0.02,0.00,3
72,Entry short,2025-05-05 07:00,USDCHF_1100_SHORT,0.8233,1,0.8233,0.001,0.15,0,0.002,0.23,-0.0003,-0.03,0.02,0.00,3
73,Exit short,2025-06-12 10:00,TIME_EXIT,0.8131,1,0.81264,-0.0005,-0.06,0,0.002,0.30,-0.001,-0.09,0.02,0.00,3
73,Entry short,2025-06-12 07:00,USDCHF_1100_SHORT,0.81264,1,0.81264,-0.0005,-0.06,0,0.002,0.30,-0.001,-0.09,0.02,0.00,3
74,Exit short,2025-06-24 10:00,TP_OR_SL,0.80596,1,0.80858,0.003,0.32,0,0.003,0.32,-0.001,-0.11,0.02,0.00,3
74,Entry short,2025-06-24 07:00,USDCHF_1100_SHORT,0.80858,1,0.80858,0.003,0.32,0,0.003,0.32,-0.001,-0.11,0.02,0.00,3
75,Exit short,2025-06-30 10:00,TIME_EXIT,0.79598,1,0.79736,0.001,0.17,0,0.002,0.29,-0.001,-0.12,0.02,0.00,3
75,Entry short,2025-06-30 07:00,USDCHF_1100_SHORT,0.79736,1,0.79736,0.001,0.17,0,0.002,0.29,-0.001,-0.12,0.02,0.00,3
76,Exit short,2025-07-21 10:00,TIME_EXIT,0.79782,1,0.79908,0.001,0.16,0,0.001,0.19,-0.001,-0.07,0.03,0.00,3
76,Entry short,2025-07-21 07:00,USDCHF_1100_SHORT,0.79908,1,0.79908,0.001,0.16,0,0.001,0.19,-0.001,-0.07,0.03,0.00,3
77,Exit short,2025-08-06 10:00,TIME_EXIT,0.80743,1,0.80699,-0.0004,-0.05,0,0.001,0.14,-0.001,-0.09,0.02,0.00,3
77,Entry short,2025-08-06 07:00,USDCHF_1100_SHORT,0.80699,1,0.80699,-0.0004,-0.05,0,0.001,0.14,-0.001,-0.09,0.02,0.00,3
78,Exit short,2025-08-19 10:00,TP_OR_SL,0.80622,1,0.8054,-0.001,-0.10,0,0.001,0.06,-0.001,-0.10,0.02,0.00,3
78,Entry short,2025-08-19 07:00,USDCHF_1100_SHORT,0.8054,1,0.8054,-0.001,-0.10,0,0.001,0.06,-0.001,-0.10,0.02,0.00,3
79,Exit short,2025-09-08 09:00,TP_OR_SL,0.79362,1,0.79568,0.002,0.26,0,0.002,0.26,0,0.00,0.03,0.00,2
79,Entry short,2025-09-08 07:00,USDCHF_1100_SHORT,0.79568,1,0.79568,0.002,0.26,0,0.002,0.26,0,0.00,0.03,0.00,2
80,Exit short,2025-09-16 08:00,TP_OR_SL,0.79105,1,0.79029,-0.001,-0.10,0,0.0002,0.02,-0.001,-0.10,0.03,0.00,1
80,Entry short,2025-09-16 07:00,USDCHF_1100_SHORT,0.79029,1,0.79029,-0.001,-0.10,0,0.0002,0.02,-0.001,-0.10,0.03,0.00,1
81,Exit short,2025-09-17 08:00,TP_OR_SL,0.7876,1,0.78678,-0.001,-0.10,0,0.00001,0.00,-0.001,-0.10,0.02,0.00,1
81,Entry short,2025-09-17 07:00,USDCHF_1100_SHORT,0.78678,1,0.78678,-0.001,-0.10,0,0.00001,0.00,-0.001,-0.10,0.02,0.00,1
82,Exit short,2025-10-02 08:00,TP_OR_SL,0.79668,1,0.79576,-0.001,-0.12,0,0.001,0.08,-0.001,-0.12,0.02,0.00,1
82,Entry short,2025-10-02 07:00,USDCHF_1100_SHORT,0.79576,1,0.79576,-0.001,-0.12,0,0.001,0.08,-0.001,-0.12,0.02,0.00,1
83,Exit short,2025-11-07 09:00,TP_OR_SL,0.80415,1,0.80581,0.002,0.21,0,0.002,0.21,-0.0004,-0.05,0.03,0.00,3
83,Entry short,2025-11-07 06:00,USDCHF_1100_SHORT,0.80581,1,0.80581,0.002,0.21,0,0.002,0.21,-0.0004,-0.05,0.03,0.00,3
